Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT
AImotive Inc.,AVT003,12.06.2018,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk of lane departure, caused by unstable target lane model"
AImotive Inc.,AVT003,12.10.2018,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk of lane departure, caused by unstable target lane model"
AImotive Inc.,AVT003,12.10.2018,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk of lane departure, caused by unstable target lane model"
AImotive Inc.,AVT003,04.23.2019,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk of lane departure, caused by overshooting trajectory planning"
AImotive Inc.,AVT003,05.14.2019,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"Lane change maneuver to the exit lane: risk of lane departure, caused by unstable trajectory planning"
AImotive Inc.,AVT003,05.14.2019,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"Lane change maneuver to the exit lane: risk of lane departure, caused by unstable trajectory planning"
AImotive Inc.,AVT003,05.14.2019,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"Lane change maneuver to the exit lane: risk of lane departure, caused by unstable trajectory planning"
AImotive Inc.,AVT003,05.15.2019,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk to be rear-ended by vehicle in target lane, caused by wrong lane change suggestion"
AImotive Inc.,AVT003,06.20.2019,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk of lane departure, caused by overshooting trajectory planning"
AImotive Inc.,AVT003,07.08.2019,JTDKN3DU5A1092792,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk to be rear-ended by vehicle in target lane, caused by wrong lane change suggestion"
AImotive Inc.,AVT003,07.25.2019,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk to be rear-ended by vehicle in target lane, caused by wrong lane change suggestion"
AImotive Inc.,AVT003,07.29.2019,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk of lane departure, caused by wrong lane association"
AImotive Inc.,AVT003,09.05.2019,JTDKN3DU2A5101201,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk to be rear-ended by vehicle in target lane, caused by wrong lane change suggestion"
AImotive Inc.,AVT003,09.06.2019,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk of lane departure, caused by overshooting trajectory planning"
AImotive Inc.,AVT003,09.13.2019,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk of lane departure, caused by overshooting trajectory planning"
AImotive Inc.,AVT003,10.01.2019,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk of lane departure, caused by overshooting trajectory planning"
AImotive Inc.,AVT003,10.15.2019,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Lane change maneuver: risk to be rear-ended by vehicle in target lane, caused by wrong lane change suggestion"
