id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2015,Berlin-Mitte Value! Quiet courtyard/very central,2217,Ian,Mitte,Brunnenstr. Süd,52.53453732241747,13.402556926822388,Entire home/apt,60,4,118,2018-10-28,3.76,4,141
2695,Prenzlauer Berg close to Mauerpark,2986,Michael,Pankow,Prenzlauer Berg Nordwest,52.54851279221664,13.404552826587466,Private room,17,2,6,2018-10-01,1.42,1,0
3176,Fabulous Flat in great Location,3718,Britta,Pankow,Prenzlauer Berg Südwest,52.53499619158672,13.417578665333297,Entire home/apt,90,62,143,2017-03-20,1.25,1,220
3309,BerlinSpot Schöneberg near KaDeWe,4108,Jana,Tempelhof - Schöneberg,Schöneberg-Nord,52.498854933130026,13.34906453348717,Private room,26,5,25,2018-08-16,0.39,1,297
7071,BrightRoom with sunny greenview!,17391,Bright,Pankow,Helmholtzplatz,52.5431572633131,13.415091104515708,Private room,42,2,197,2018-11-04,1.75,1,26
9991,Geourgeous flat - outstanding views,33852,Philipp,Pankow,Prenzlauer Berg Südwest,52.533030768026826,13.416046823956403,Entire home/apt,180,6,6,2018-07-23,0.15,1,137
14325,Apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54784640799216,13.405562243722455,Entire home/apt,70,90,23,2018-11-01,0.23,3,129
16401,APARTMENT TO RENT,59666,Melanie,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51051399601544,13.457850238106197,Private room,120,30,0,,,1,365
16644,In the Heart of Berlin - Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50479227385915,13.435101853886051,Entire home/apt,90,60,48,2017-12-14,0.47,2,159
17409,Downtown Above The Roofs In Berlin,67590,Wolfram,Pankow,Prenzlauer Berg Südwest,52.52907092467378,13.412843393984936,Private room,45,3,279,2018-10-31,2.83,1,42
17904,Beautiful Kreuzberg studio/WiFi (reg. pend.),68997,Matthias,Neukölln,Reuterstraße,52.49547632662389,13.421821277536653,Entire home/apt,49,5,223,2018-10-30,2.1,1,232
20858,Designer Loft in Berlin Mitte,71331,Marc,Pankow,Prenzlauer Berg Südwest,52.53695243192395,13.407615032621536,Entire home/apt,129,3,56,2018-10-20,0.75,1,166
21869,Studio in the Heart of Kreuzberg,64696,Rene,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50273333406941,13.434619857852764,Entire home/apt,70,60,60,2016-06-05,0.61,2,129
22415,Stylishly furnished 3 room flat,86068,Kiki,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49485061986592,13.428500598140367,Entire home/apt,98,3,61,2018-10-01,0.59,2,257
22677,Prenzel garden with leafy terrace,87357,Ramfis,Mitte,Brunnenstr. Süd,52.53434836322021,13.405576517191426,Entire home/apt,160,3,223,2018-11-05,2.27,1,228
23834,Apartment in the heart of Berlin,94918,Tanja,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48971442632367,13.379747575408963,Entire home/apt,65,60,96,2018-06-30,0.94,1,275
24569,Sunny & Wheelchair accessible,99662,Dominik,Pankow,Prenzlauer Berg Südwest,52.53079085230837,13.41808443901994,Entire home/apt,90,3,18,2018-08-25,0.18,2,3
25653,Sunny & stylish 150 sqm apartment,99662,Dominik,Pankow,Prenzlauer Berg Süd,52.530258736282434,13.419466962263806,Entire home/apt,90,4,5,2016-08-14,0.05,2,15
26543,Helmholtzplatz Bright&Spacious Apt.,112675,Terri,Pankow,Helmholtzplatz,52.54406239119687,13.421376521988275,Entire home/apt,197,3,163,2018-11-05,1.63,1,336
28156,Beautiful apartment in Prenzlauer Berg,55531,Chris + Oliver,Pankow,Prenzlauer Berg Nordwest,52.54671936814942,13.405117021304424,Entire home/apt,70,90,28,2017-04-29,0.29,3,191
28268,Cozy Berlin Friedrichshain for1/6 p,121580,Elena,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51338523184102,13.469947507779649,Entire home/apt,90,5,30,2017-08-02,0.33,1,55
28711,Silent Studio-apt in Kreuzkölln,84157,Emanuela,Neukölln,Reuterstraße,52.48610614913479,13.43481698170685,Entire home/apt,60,2,1,2013-08-13,0.02,10,341
29279,Quiet 2 rooms next Helmholtzplatz,54283,Marine,Pankow,Helmholtzplatz,52.54178764990126,13.42388315889975,Entire home/apt,130,60,69,2018-07-31,0.7,3,221
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,485838,Michele,Pankow,Helmholtzplatz,52.54596726018988,13.422358872353616,Entire home/apt,100,4,240,2018-10-31,2.42,4,296
31440,"Nice Room in Prenzlauerberg,",135046,Thomas,Pankow,Helmholtzplatz,52.5430892935274,13.42245309399176,Private room,44,1,28,2018-10-28,4.94,1,361
33043,Central Bright Bellevue Free Parking WIFI 4G,143180,Claudio&Irina,Mitte,Moabit Ost,52.521417975814856,13.357082298389068,Entire home/apt,62,3,144,2018-11-04,1.44,1,343
35642,Cozy 2 Room Apartment in trendy Prenzlauer Berg,153252,Thorsten,Pankow,Prenzlauer Berg Nord,52.54936125502965,13.418227669657083,Entire home/apt,55,60,1,2010-09-16,0.01,1,89
36480,ChimaysaberlinB&B Single Bedroom,156897,Helen,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51967658378239,13.302088764141637,Private room,40,1,33,2018-10-19,1.63,2,297
37004,WONDERFUL ROOM for longer stays Berlin Central,159734,Bernd,Tempelhof - Schöneberg,Schöneberg-Nord,52.49338924131891,13.364813135044637,Private room,25,5,21,2018-09-25,0.21,1,329
37052,QUIET n SUNNY FLAT in MITTE/PBERG,149093,Rob,Mitte,Brunnenstr. Süd,52.538220334346455,13.404625244040142,Entire home/apt,52,2,307,2018-10-04,3.04,2,25
37836,Weekend in Berlin Party Center - II,272316,Desiree,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49847237312909,13.440131897810144,Private room,39,1,161,2018-10-30,1.59,2,120
